4E9C (亜): アジア,次のランク,後に来ます,〜の特徴を持つ | Asia,rank next,come after,-ous
8E10 (踐): 踏む,トランプル,練習,やり遂げる | step on,trample,practice,carry through
8E1F (踟): ためらう | hesitate
8E42 (蹂): 踏む | step on
8E35 (踵): ヒール | heel
8E30 (踰): 越えて行く | go beyond
8E34 (踴): ジャンプ,ダンス,跳躍,スキップ | jump,dance,leap,skip
8E4A (蹊): パス | path
8E47 (蹇): 不具 | cripple
8E49 (蹉): つまずく | stumble
8E4C (蹌): 移動,よろめき | move,stagger
8E50 (蹐): 忍び足 | stealthy footsteps
8E48 (蹈): 踏む,トランプル,やり遂げる,評価する,引っ掛けます | step on,trample,carry through,appraise,evade payment
8E59 (蹙): タイトな場所,顔をしかめる,近づく | a tight place,scowl,approaching
8E64 (蹤): 足跡,形跡,トラック | footprints,traces,tracks
8E60 (蹠): 足の裏 | sole of foot
8E2A (踪): 遺跡,手掛かり,フットプリント | remains,clue,footprint
8E63 (蹣): 驚異的,ぐらつく | staggering,tottering
8E55 (蹕): 行列に王の前に1 | one who preceeds king in procession
8E76 (蹶): つまずく | stumble
8E72 (蹲): しゃがむ,スクワット,縮こまる | crouch,squat,cower
8E7C (蹼): webfoot,ウェブ | webfoot,web
8E81 (躁): うるさい | noisy
8E87 (躇): ためらう | hesitate
8E85 (躅): 足でタップ,廃墟 | tap with the feet,ruins
8E84 (躄): クロール,不具 | crawl,cripple
8E8B (躋): 登る | climb
8E8A (躊): ためらう | hesitate
8E93 (躓): つまずく | stumble
8E91 (躑): スクワット,かかとの上に座る,ぶらつく | squat,sit on heels,loiter
8E94 (躔): 天を通して太陽/月の動き | movement of the sun/moon through the heavens
8E99 (躙): 前縁,トランプル | edge forward,trample
8EAA (躪): 前縁,トランプル | edge forward,trample
8EA1 (躡): 踏む | step on
8EAC (躬): 体,自己 | body,self
8EB0 (躰): ボディ,物質,オブジェクト,現実 | the body,substance,object,reality
8EC6 (軆): 体,グループ,クラス,単位 | body,group,class,unit
8EB1 (躱): ドッジ,受け流し,避ける | dodge,parry,avoid
8EBE (躾): トレーニング | training,(kokuji)
8EC5 (軅): もうすぐ,現在,ほとんど,ほとんど,に過ぎません,結局,ファルコン,タカ | soon after,presently,almost,all but,no more than,after all,falcoln,hawk
8EC8 (軈): もうすぐ,現在,ほとんど,ほとんど,に過ぎません,結局 | soon after,presently,almost,all but,no more than,after all,(kokuji)
8ECB (軋): キーッ,きしみ,火格子 | squeak,creak,grate
8EDB (軛): ヨーク | yoke
8EE3 (軣): ランブル,爆発,爆発 | rumble,explosion,blast
8EFC (軼): 伝える | pass along
8EFB (軻): 困難な進行 | difficult progress
8EEB (軫): 悲しい,回転する | sad,revolve
8EFE (軾): キャリッジ上の前面手すり | front railing on a carriage
8F0A (輊): 低い | low
8F05 (輅): キャリッジ | carriage
8F15 (輕): 光,簡単に,シンプル,穏やか | light,easy,simple,gentle
8F12 (輒): 速やかに,簡単に,すなわち | promptly,easily,i.e.
8F19 (輙): 戦車の側面は武器でした | sides of chariot were weapons
8F13 (輓): 引く | pull
8F1C (輜): ワゴン,荷馬車,天蓋付きのカート | wagon,dray,canopied cart
8F1F (輟): やめる,修理 | stop,mend
8F1B (輛): 大型車用のカウンタ | counter for large vehicles
8F0C (輌): 車のための定員内の付属物 | numerary adjunct for vehicles
8F26 (輦): 駕籠 | palanquin
8F33 (輳): ギャザー | gather
8F3B (輻): スポーク（ホイール） | spoke (wheel)
8F39 (輹): 車軸と台車の間の接続 | connection between axle and carriage
8F45 (轅): 軸 | shaft
8F42 (轂): ハブ（車輪の） | hub (of wheel)
8F3E (輾): キーッ | squeak
8F4C (轌): そり,そり | sleigh,sled,(kokuji)
8F49 (轉): シフト,移動,順番 | shift,move,turn
8F46 (轆): プーリー,ローラー | pulley,roller
8F4E (轎): 駕籠,ごみ | palanquin,litter
8F57 (轗): 困難,不幸 | difficulty,misfortune
8F5C (轜): 霊柩車 | hearse
8F62 (轢): はみ出する | run over
8F63 (轣): きしむ音 | creaking sound
8F64 (轤): プーリー | pulley
8F9C (辜): 罪,犯罪 | sin,crime
8F9F (辟): 偽,罰する,犯罪,法律 | false,punish,crime,law
8FA3 (辣): 鼻にツンとく,スパイシー,厳しい,残酷な,厳しい | pungent,spicy,harsh,cruel,severe
8FAD (辭): 言葉,スピーチ,表現,フレーズ | words,speech,expression,phrase
8FAF (辯): スピーチ,方言 | speech,dialect
8FB7 (辷): グライド,スケート,スリップ,試験に失敗する | glide,skate,slip,fail in exams,(kokuji)
8FDA (迚): いくつかの方法または別の,非常に | some way or other,very,(kokuji)
8FE5 (迥): 遠く,遠く | far,distant
8FE2 (迢): 大きく外れて,遠く | far off,distant
8FEA (迪): 啓く,方法,パス | edify,way,path
8FEF (迯): エスケープ,ノミ,姿をくらまする,ドッジ | escape,flee,abscond,dodge
9087 (邇): アプローチ,近く,閉じる | approach,near,close
8FF4 (迴): 行き渡る | go around
9005 (逅): 大会 | meet
8FF9 (迹): マーク,印刷,印象 | mark,print,impression
8FFA (迺): 言い換えると,汝,君は,所有粒子 | in other words,thou,you,possessive particle
9011 (逑): ペア,ギャザー,大会 | pair,gather,meet
9015 (逕): パス | path
9021 (逡): 散歩,戻る | saunter,go back
900D (逍): 散歩,ローフ | saunter,loaf
901E (逞): 頑丈,筋骨たくましい,大胆な | sturdy,brawny,bold
9016 (逖): 遠く | far
900B (逋): ノミ | flee
9027 (逧): 渓谷,谷 | ravine,valley,(kokuji)
9036 (逶): 長い,巻き取り,斜めの | long,winding,oblique
9035 (逵): 広い道路 | broad road
9039 (逹): 到着する,リーチ,インテリジェント | arrive at,reach,intelligent
8FF8 (迸): アウト噴出,スパート | gush out,spurt
904F (遏): やめる,抑える | stop,suppress
9050 (遐): 遠く | distant
9051 (遑): 余暇 | leisure
9052 (遒): 強い,強力な | strong,powerful
900E (逎): 強い,不屈の,力強い | strong,unyielding,forceful
9049 (遉): だけあって | as might be expected
903E (逾): パス,越えて行く | pass,go beyond
9056 (遖): ブラボー,立派な | bravo,admirable,(kokuji)
9058 (遘): 大会 | meet
905E (遞): 引き渡す,届けます,代替 | hand over,deliver,substitute
9068 (遨): 遊びます,楽しみ | play,enjoyment
906F (遯): 欺く,隠す,隠す,ノミ | deceive,hide,conceal,flee
9076 (遶): 囲む | surround
96A8 (隨): （波）のなすがままに | at the mercy of (the waves)
9072 (遲): 遅く,遅刻,スロー,ディレイ | late,tardy,slow,delay
9082 (邂): 予想外に会う | meet unexpectedly
907D (遽): 恐れ,攪拌,混乱,急ぐ | fear,agitation,confusion,hurry
9081 (邁): 行く,エクセル | go,excel
9080 (邀): 迎えに行く,コール | go to meet,call
908A (邊): エッジ,マージン,側,境界 | edge,margin,side,border
9089 (邉): エッジ,マージン,側,境界 | edge,margin,side,border
908F (邏): 行き渡る,隠す | go around,conceal
90A8 (邨): 村,ハムレット,素朴な | village,hamlet,rustic
90AF (邯): 地名,カンタン | place name,tree cricket
90B1 (邱): 丘 | hill
90B5 (邵): 地名 | place name
90E2 (郢): 地名 | place name
90E4 (郤): 隙間,隙間 | crevice,interstice
6248 (扈): 続く | follow
90DB (郛): 城の周りの土工エンクロージャ | earthwork enclosure around a castle
9102 (鄂): 地名,率直に言って | place name,frankly
9112 (鄒): 地名 | place name
9119 (鄙): 卑しい,国,田舎,田舎する | lowly,the country,the countryside,be countrified
9132 (鄲): 地名 | place name
9130 (鄰): 隣人,ご近所 | neighbor,neighborhood
914A (酊): 中毒 | intoxication
9156 (酖): 中毒,毒 | addiction,poison
9158 (酘): rebrew,再び発酵 | rebrew,ferment again
9163 (酣): の高さ,の厚い,フルスイング | height of,thick of,full swing
9165 (酥): ミルク | milk
9169 (酩): 味醂 | sweet sake
9173 (酳): 酔ったせせらぎ,提供 | drunken babbling,offer
9172 (酲): 二日酔い | hangover
918B (醋): 酢 | vinegar
9189 (醉): 酔う,体調が悪い,毒入りの,得意の,魅せられました | get drunk,feel sick,poisoned,elated,spellbound
9182 (醂): 渋味を削除,水に漂白剤 | remove astringency,bleach in water
91A2 (醢): 塩漬け肉 | salted meat
91AB (醫): 医学 | medicine
91AF (醯): 酢 | vinegar
91AA (醪): もろみや醤油 | unrefined sake or shoyu
91B5 (醵): ごちそうのための貢献（持ち寄り） | contribution for a feast (potluck)
91B4 (醴): 味醂 | sweet sake
91BA (醺): 飢え | hunger
91C0 (釀): 醸造,原因 | brew,cause
91C1 (釁): 血液と塗抹 | smear with blood
91C9 (釉): 釉薬,エナメル | glaze,enamel
91CB (釋): 説明する | explain
91D0 (釐): 少数,府の第十 | few,tenth of a bu
91D6 (釖): ナイフ,剣 | knife,sword
91DF (釟): フォージ,気性,焼きなまし | forge,temper,anneal
91E1 (釡): ケトル,大釜,釜 | kettle,cauldron,iron pot
91DB (釛): ゴールド | gold
91FC (釼): 剣,短剣,サーベル | sword,dagger,saber
91F5 (釵): かんざし | ornamental hairpin
91F6 (釶): 薙刀 | halberd
921E (鈞): 等しい,重要なポイント | equal,important point
91FF (釿): 斧,手斧 | hatchet,adze
9214 (鈔): 選択,概要,1/10尺 | selection,summary,1/10 shaku
922C (鈬): 鐘,姓 | bell,surname
9215 (鈕): ボタン | button
9211 (鈑): 板金 | sheet metal
925E (鉞): 戦斧 | battleaxe
9257 (鉗): 黙れ | shut up
9245 (鉅): 大きい,すばらしい | big,great
9249 (鉉): ハンドル | handle
9264 (鉤): フック,バーブ,ガフ,カッコ | hook,barb,gaff,brackets
9248 (鉈): 斧 | hatchet
9295 (銕): 鉄,強い,固体,当社 | iron,strong,solid,firm
923F (鈿): 観賞用のヘッドピース | ornamental hairpiece
924B (鉋): 大工の飛行機 | carpenter\'s plane
9250 (鉐): 真鍮 | brass
929C (銜): 馬のビット | horse\'s bit
9296 (銖): 測定単位,龍の1/16,パーセント,小さい,わずかな | measuring unit, 1/16 of a ryou,percent,small,slight
9293 (銓): 測定,秤,量る | measure,scales,weigh
929B (銛): 銛,ガフ | harpoon,gaff
925A (鉚): ゴールド | gold
92CF (鋏): はさみ | scissors
92B9 (銹): さび,変色 | rust,tarnish
92B7 (銷): 消する,シャット（ドア） | erase,shut (door)
92E9 (鋩): 剣点 | sword point
930F (錏): 装甲ハブロック,ヘルメットネックガード | armour havelock,helmet neck guard
92FA (鋺): 金属ボウル | metal bowl
9344 (鍄): 打楽器の一種,クランプ | kind of percussion instrument,clamp
932E (錮): タイへ | to tie
9319 (錙): 重量単位,小さい,わずかな | unit of weight,small,slight
9322 (錢): 円の100番目 | 100th of yen
931A (錚): ゴング | gong
9323 (錣): アーマーネックプレート | armor neckplates
933A (錺): 金属製のネックレス | metal jewelry,(kokuji)
9335 (錵): ホルミウム,刀の刃のパターン | holmium,pattern on sword blade
933B (錻): ブリキ | tin plate,(kokuji)
935C (鍜): アーマーネックプレート | armour neck plates
9360 (鍠): 鐘や太鼓の音 | sound of bells and drums
937C (鍼): 針 | needle
936E (鍮): 真鍮 | brass
9356 (鍖): 不満足な | unsatisfactory
93B0 (鎰): 重量単位 | unit of weight
93AC (鎬): 剣ブレード尾根 | sword-blade ridges
93AD (鎭): 古代の平和維持センター | ancient peace-preservation centers
9394 (鎔): ヒューズ,メルト | fuse,melt
93B9 (鎹): クランプ | clamp,(kokuji)
93D6 (鏖): 虐殺,消滅 | massacre,annihilation
93D7 (鏗): 素晴らしく音 | clinking sound
93E8 (鏨): 冷たがね | cold chisel
93E5 (鏥): さび,腐食 | rust,corrosion
93D8 (鏘): ヒスイまたは金属ペンダントのチリンチリンと鳴る | tinkling of jade or metal pendants
93C3 (鏃): 矢じり,バーブ | arrowhead,barb
93DD (鏝): はんだごて,こて,ヘアアイロン,フラットアイロン | soldering iron,trowel,curling iron,flat iron
93D0 (鏐): ゴールド | gold
93C8 (鏈): 鎖,アイアン,接続 | chain,irons,connection
93E4 (鏤): インレイ,セット,マウント | inlay,set,mount
941A (鐚): 最小値のコイン | coin of smallest value
9414 (鐔): 鍔,柄 | sword guard,hilt
9413 (鐓): フェルール,木口 | ferrule,butt end
9403 (鐃): ゴング | gong
9407 (鐇): 斧,バナジウム | hatchet,vanadium
9410 (鐐): 銀,白金,チェーン | silver,platinum,chains
9436 (鐶): 金属リング,リンク,引き出しの取っ手 | metal ring,link,drawer pull
942B (鐫): 彫る,刻む,彫刻刀 | carve,engrave,chisel
9435 (鐵): 鉄 | iron
9421 (鐡): 鉄 | iron
943A (鐺): 鎖,鞘の先端,こて | chain,tip of a scabbard,flatiron
9441 (鑁): 名 | name
9452 (鑒): 鑑む,から学びます,パターン,例 | take warning from,learn from,pattern,example
9444 (鑄): キャスト,ミント | cast,mint
945B (鑛): 鉱石 | ore
9460 (鑠): メルト,惚れます,魅了 | melt,be charmed,captivated
9462 (鑢): ファイル,石目やすり | file,rasp
945E (鑞): 半田 | solder
946A (鑪): 健康,暖炉,ファーネス | hearth,fireplace,furnace
9229 (鈩): 健康,暖炉,ファーネス | hearth,fireplace,furnace
9470 (鑰): ロック | lock
9475 (鑵): 蒸気ボイラ | steam boiler
9477 (鑷): 髪を摘み取る,ピンセット | pluck hair,tweezers
947D (鑽): 棒をこすって火を作る | make fire by rubbing sticks
945A (鑚): 棒をこすって火を作る | make fire by rubbing sticks
947C (鑼): ゴング | gong
947E (鑾): 皇帝のキャリッジ上の鐘 | bells on emperor\'s carriage
9481 (钁): 鍬 | hoe
947F (鑿): 彫刻刀 | chisel
9582 (閂): ゲートバー | gate bar
9587 (閇): シャット,閉じる,妨害する,塞ぐ | shut,close,obstruct,block up
958A (閊): 邪魔する,ブロックされ | to be obstructed,to be blocked,(kokuji)
9594 (閔): 悲しむ,悲しむ,同情 | grieve,be sad,pity
9596 (閖): すすぎながら振る,金のためにパン | shake while rinsing,pan for gold,(kokuji)
9598 (閘): ウォーターゲート事件,ロック | water gate,lock
9599 (閙): うるさい | noisy
95A0 (閠): インターカレーション,非嫡出王位 | intercalation,illegitimate throne
95A8 (閨): ベッドルーム | bedroom
95A7 (閧): 雄叫び | war cry
95AD (閭): 農村地域 | rural area
95BC (閼): 妨害する,隠す | obstruct,conceal
95BB (閻): タウン | town
95B9 (閹): 宦官 | eunuch
95BE (閾): しきい値 | threshold
95CA (闊): ワイド | wide
6FF6 (濶): ワイド | wide
95C3 (闃): 静か,まだ | quiet,still
95CD (闍): 望楼,音声的に使用 | watchtower,used phonetically
95CC (闌): 高い上昇,よく一緒になる | rise high,be well along
95D5 (闕): 欠如,ギャップ,失敗する,皇居 | lack,gap,fail,imperial palace
95D4 (闔): ドア | doors
95D6 (闖): 約問い合わせ | inquire about
95DC (關): 接続,バリア,ゲートウェイ,巻き込む,について | connection,barrier,gateway,involve,concerning
95E1 (闡): 明らかにする | clarify
95E5 (闥): ゲート | gate
95E2 (闢): 開いた | open
9621 (阡): 千 | thousand
9628 (阨): 妨害する,苦痛,狭い | obstruct,distress,narrow
962E (阮): 地名 | place name
962F (阯): 財団,サイト,住所 | foundation,site,address
9642 (陂): 堤防,堤防,丘,スロープ | levee,embankment,hill,slope
964C (陌): 水田間の東西パス,道路 | east-west path between paddies,road
964F (陏): メロン,ラップ | melon,wrap
964B (陋): 狭さ,卑劣,謙虚 | narrowness,meanness,humbleness
9677 (陷): に落ちる,潰える,秋（城）,滑り込む | fall into,cave in,fall (castle),slide into
965C (陜): 狭い | narrow
965E (陞): 上がる,登る | go up,climb
965D (陝): 地名 | place name
965F (陟): 登る,上昇 | climb,rise
9666 (陦): 島 | island
9672 (陲): 境界 | boundary
966C (陬): コーナー | corner
968D (隍): ドライ堀 | dry moat
9698 (隘): 狭い,妨害する | narrow,obstruct
9695 (隕): 秋 | fall
9697 (隗): 高い,急な | high,steep
96AA (險): 険しい,険しい,険しい,鋭い目 | inaccessible place,impregnable position,steep place,sharp eyes
96A7 (隧): 秋,行き渡る | fall,go around
96B1 (隱): 隠す,隠す,カバー | hide,conceal,cover
96B2 (隲): 種馬,登る,作る | stallion,climb,make
96B0 (隰): 潤う,湿る | be moist,be wet
96B4 (隴): 丘,マウンド | hill,mound
96B6 (隶): 延長する,与える,キャスト | extend,give,cast,slave radical (no. 171)
96B8 (隸): サーバント,囚人,犯罪者,フォロワー | servant,prisoner,criminal,follower
96B9 (隹): 鳥 | bird,old bird radical (no. 172)
96CE (雎): ミサゴ | osprey
96CB (雋): エクセル | excel
96C9 (雉): キジ | pheasant
96CD (雍): 軟化,緩和 | softening,mitigation
894D (襍): ミックス,ブレンド,ミックス,混ぜる | mixed,blended,mix,mingle
96DC (雜): ミックス,ブレンド,ミックス,混ぜる | mixed,blended,mix,mingle
970D (霍): クイック,突然 | quick,sudden
96D5 (雕): 彫刻 | carving
96F9 (雹): 雹 | hail
9704 (霄): 空 | sky
9706 (霆): ライトニング,サンダー | lightning,thunder
